id_venda,produto,categoria,preco_unitario,quantidade,data_venda,cliente
1,Caderno,Papelaria,15.00,10,2024-01-05,Ana Souza
2,Caneta Azul,papelaria,3.50,50,2024-01-05,Bruno Lima
3,Mochila,Acessorios,120.00,,2024-01-06,Carla Dias
4,Caneta Preta,Papelaria ,3.50,30,2024-01-06,Ana Souza
5,Fone de Ouvido,ELETRONICOS,89.90,8,2024-01-07,
6,Estojo,Acessorios,22.00,15,2024-01-07,Diego Alves
7,Caderno,Papelaria,15.00,10,2024-01-05,Ana Souza
8,Mouse,Eletronicos,45.00,12,2024-01-08,Elisa Melo
9,Teclado,Eletronicos,95.00,,2024-01-08,Fabio Reis
10,Caneta Azul,papelaria,3.50,40,2024-01-09,Gabriela Rocha
11,Mochila,Acessorios,120.00,5,2024-01-09,Hugo Castro
12,Fone de Ouvido,ELETRONICOS,89.90,6,2024-01-10,Ana Souza
13,Caderno,Papelaria,15.00,25,2024-01-10,
14,Estojo,Acessorios,22.00,,2024-01-11,Igor Nunes
15,Mouse,Eletronicos,45.00,20,2024-01-11,Julia Prado
16,Caneta Preta,Papelaria ,3.50,35,2024-01-12,Bruno Lima
17,Teclado,Eletronicos,95.00,9,2024-01-12,Karen Souza
18,Mochila,Acessorios,120.00,3,2024-01-13,Leo Martins
19,Caderno,Papelaria,15.00,18,2024-01-13,Carla Dias
20,Fone de Ouvido,ELETRONICOS,89.90,6,2024-01-10,Ana Souza
